"codigoine","concello","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1981","X1991","X2001","X2011","sup1996"
32055,"Paderne de Allariz",3785,3872,3822,3800,3761,3275,2801,2574,2166,1791,1667,1588,38.8
32056,"Padrenda",4142,4242,3979,4038,4983,4887,4741,4520,4121,2881,2588,2169,57
32057,"Parada de Sil",3287,3367,3163,3272,3353,2912,3085,1897,2171,1083,841,646,62.4
32058,"Pereiro de Aguiar",6731,6886,6856,6681,6953,6975,7398,5427,5998,4691,5292,6261,60.9
32059,"Peroxa, A",6564,6531,6510,7416,6461,5929,5036,4058,4080,2868,2557,2096,54.5
32060,"Petín",2568,2607,2689,2887,2729,2669,3220,2903,1615,1225,1131,983,30.5
32061,"Piñor",3932,3165,3483,3373,3887,3611,2981,2317,2111,1808,1552,1328,52.7
32062,"Porqueira",3058,3100,2916,2899,3127,3104,2683,2112,1814,1293,1144,997,43.4
32063,"Pobra de Trives, A",5541,5449,5164,5446,5746,5713,4586,5918,5527,3077,2756,2396,84.2
32064,"Pontedeva",1296,1379,1312,1161,1359,1429,1321,1107,829,819,679,645,9.9
32065,"Punxín",2173,2172,2216,2073,2105,2100,1700,1306,1255,1048,937,799,17.1
32066,"Quintela de Leirado",2351,2307,2334,2242,2182,1987,1743,1685,1457,1044,881,717,31.3
32067,"Rairiz de Veiga",4084,4370,4230,4151,4371,4463,3989,3819,3721,2363,1799,1591,72.1
32068,"Ramirás",NA,NA,NA,5806,5933,5147,4285,4752,4850,2115,2065,1814,40.7
32069,"Ribadavia",4788,4903,5114,6341,7031,7369,7571,6181,6622,5946,5397,5318,25.2
32070,"San Xoán de Río",3630,3505,3467,3343,3324,3332,2955,2877,2683,1351,932,692,61.1
32071,"Riós",4664,4710,4979,4966,5504,5169,5143,4669,4056,2520,2132,1800,114.4
32072,"Rúa, A",2411,2626,2822,3224,4040,4096,4526,5242,5712,4933,5041,4665,35.9
32073,"Rubiá",3738,3554,3566,4164,4456,4220,4090,3919,2731,2154,1734,1557,100.7
32074,"San Amaro",3205,3073,2925,2905,3258,3272,4221,2608,2230,1640,1431,1235,28.9
32075,"San Cibrao das Viñas",3410,3642,3571,3913,4152,3789,3638,3230,3248,3409,3669,4689,39.5
32076,"San Cristovo de Cea",6441,6365,6041,6102,6203,6043,5966,4705,5242,3781,3081,2554,94.4
32077,"Sandiás",2388,2814,2463,2749,3069,3407,2697,2191,2316,1928,1670,1344,52.8
32078,"Sarreaus",3640,3853,3527,3673,3963,4163,4177,4153,4057,2683,1789,1408,77.3
32079,"Taboadela",2901,2734,2782,2828,2760,2677,2252,2263,2463,1816,1718,1638,25.2
32080,"Teixeira, A",2271,2244,2095,2110,2147,2104,1908,1985,1961,643,567,424,27.6
32081,"Toén",3881,3798,3524,3875,4329,4369,3982,3249,3612,2748,2511,2558,58.3
32082,"Trasmiras",2679,2912,2711,3169,3545,3638,4008,3522,3828,2280,1829,1528,56.7
32083,"Veiga, A",6977,6910,6927,6742,6357,6357,5330,4332,2927,1595,1367,1035,290.5
32084,"Verea",3677,3697,3567,3632,3917,3641,3081,2780,2646,1847,1395,1159,94.2
32085,"Verín",4968,5832,6023,6814,8137,8841,9063,8870,9983,11018,12917,14466,94.1
32086,"Viana do Bolo",8016,8118,8045,7906,8447,8448,9062,6365,6320,4432,3893,3189,270.4
32087,"Vilamarín",4206,4165,4021,3544,4040,3767,3315,2486,2304,2218,2194,2125,56.1
32088,"Vilamartín de Valdeorras",3866,4222,4120,4190,4313,4059,3902,3252,2917,2446,2457,1972,88.3
32089,"Vilar de Barrio",3220,3259,3228,3499,3967,3713,4079,3889,3195,2592,1974,1572,106.7
32090,"Vilar de Santos",1514,1493,1502,1592,1723,1792,1708,1669,1863,1404,986,921,20.7
32091,"Vilardevós",4695,4846,4676,5639,6033,6645,6645,6152,5694,3257,2803,2118,152.1
32092,"Vilariño de Conso",2256,2237,2363,2252,2301,2172,1923,1657,1044,917,799,638,200.2
36001,"Arbo",5267,5445,5307,5245,6015,6442,5502,5476,4975,4965,3742,3130,42.9
36002,"Barro",3405,3547,3664,3580,3725,3779,3491,3821,3845,3567,3468,3713,37.6
36003,"Baiona",4423,4828,5318,5596,6075,6420,6585,7887,9702,9690,10931,11940,34.5
36004,"Bueu",7233,7650,8411,9150,10023,10177,10317,11006,11961,11506,12350,12339,30.8
36005,"Caldas de Reis",7505,7836,7825,8319,8949,9376,8983,8466,8702,9042,9477,10013,68.2
36006,"Cambados",5603,6761,7143,6956,8028,9290,9971,10644,12628,12503,13385,14038,23.4
36007,"Campo Lameiro",3952,3641,3663,3329,3670,3350,2908,2872,2554,2486,2235,2017,63.8
36008,"Cangas",8011,10471,12718,14418,15836,15334,17115,19026,20798,21729,23981,26332,38.1
36009,"Cañiza, A",7923,7970,7764,7655,8743,8186,8221,7477,7810,7387,7194,5471,107.5
36010,"Catoira",1916,2098,2282,2507,2716,2827,3120,3337,3583,3542,3451,3499,29.4
36011,"Cerdedo",5331,5339,5282,5265,5211,5888,4883,4675,4251,3697,2300,1850,79.8
36012,"Cotobade",7978,8218,8214,7969,8046,7671,6625,6165,6031,5458,4687,4395,134.7
36013,"Covelo",6881,6728,6592,6112,6861,6694,6255,7738,6374,4230,3743,2880,125.3
36014,"Crecente",5247,5279,5306,5317,5575,5584,5877,5927,4432,3880,2677,2345,57.5
36015,"Cuntis",5866,6552,6714,6569,7221,7790,7689,7282,6178,5927,5530,4998,79.8
36016,"Dozón",2750,2750,2628,2636,2596,2506,2929,2827,2492,2565,1710,1271,74.2
36017,"Estrada, A",23916,24168,25471,26623,27240,28169,28716,27550,25719,21947,22308,21626,280.8
36018,"Forcarei",7751,8396,9172,8987,9244,9040,8079,7045,7114,5224,4801,3934,168.4
36019,"Fornelos de Montes",2795,3047,2940,2817,2712,2691,2564,2340,2377,2194,2066,1900,83.1
36020,"Agolada",4794,5048,5881,6432,6411,7003,6446,4990,4703,4731,3882,2773,147.8
36021,"Gondomar",7842,8281,8219,8219,8570,9037,8133,8679,10009,10440,12176,14086,74.5
